page_order,name_ja,zone_name,obtention_desc,attri,positi,lv,GP,TP,kick,body,control,guard,speed,stamina,guts,freedom,h1,h2,h3,h4,name_romanji,body_type,full_ja,kanji_ja,name_en,full_en,id
31-7,かがわ,北東京,"稲妻商店街
(ガチャ: 黄 )",火,FW,,118,96,47,53,60,50,56,51,37,71,スーパーしこふみ (B),メガクェイク,ターザンキック (C),ドこんじょうクラブ (L),kagawa,4,かがわ あきお,香川 明央,Dell,Keanu Dell,306
31-8,かきがわ,ジャパン,"ジャパン
(ガチャ: 赤 )",林,DF,,120,99,58,59,56,62,60,58,56,15,ブレードアタック,サイクロン,ぶんしんフェイント,ぶんしんディフェンス,kakigawa,,かきがわ みのる,柿川 実 ,Grayson,Earl Grayson,307
31-9,かぎなわ,ジャパン,人脈システム,風,MF,,107,95,28,50,84,54,89,53,57,15,かげぬい,つちだるま (C),ホーントレイン (B),じばしりかえん,kaginawa,3,かぎなわ かける,鈎名和 掛,Grapnel,Graplen Hawk,308
31-10,かくとう,北海道,Wi-Fi配信,林,FW,,118,95,67,45,44,44,56,56,62,57,ホーントレイン V3(B),メガトンヘッド (B),ねっけつヘッド,マタドールフェイント,kakutou,,かくとう こうま,角頭 浩馬,Hoarder,Helmut Hoarder,309
32-1,かくまる,京都,ミニバトル,火,GK,,105,123,62,62,61,65,51,66,62,2,ディフェンスフォース,こがらし,いかりのてっつい,せいぎのてっけん,kakumaru,,かくまる てるふみ,角丸 照文,Cush,Justin Cush,310
32-2,かげろう,奈良,"関西 愛媛
(ガチャ: 赤 )",林,GK,,126,91,62,51,51,56,56,61,56,31,やくびょうがみ,プレッシャーパンチ,つむじ,オーロラカーテン,kagerou,,かげろう ちあき,陽炎 千晶,Phee,Bill Phee,311
32-3,かさい,コトアール,"コトアール
(ガチャ: 青 )",山,MF,,129,93,56,48,50,48,51,64,51,67,イリュージョンボール,どくぎりのじゅつ,グラディウスアーチ (L),かげぬい,kasai,3,かさい かつひと,葛西 克仁,White,Blagun White,312
32-4,かざきり,ジャパン,"ジャパン
(ガチャ: 青 )",風,DF,,102,116,48,48,47,56,60,51,52,66,クイックドロウ,サイクロン,ジグザグスパーク,ダブルサイクロン,kazakiri,,かざきり しょう,風切 彰,Fort,Beau Fort,313
32-5,かさはら,北東京,"稲妻商店街
(ガチャ: 赤レア )",火,DF,8,116,101,53,54,51,56,51,57,51,56,キラースライド,ごりむちゅう,じばしりかえん,ボルケイノカット (B),kasahara,1,かさはら たつや,笠原 竜也,Lection,Colin Lection,314
32-6,かざま,イギリス,人脈システム,火,GK,,134,97,55,55,44,46,45,55,53,65,まきわりチョップ,フォトンフラッシュ,ドこんじょうキャッチ,カウンターストライク,kazama,,かざま げん,風間 弦,Headstock,Rod Headstock,315
32-7,かざまつり,-,とくしゅ（オーガ）,風,DF,,92,132,56,54,60,65,80,40,57,26,ぞくせいきょうか,ダブルサイクロン,ダッシュストーム,ふうじんのまい,kazamatsuri,,かざまつり そう,風祭 颯,Weathervane,Gustav Weathervane,316
32-8,かざむかい,南東京,"大江戸国際空港
(ガチャ: 黄レア )",風,GK,8,120,103,63,62,56,58,58,56,57,33,トルネードキャッチ,オーロラカーテン,サイクロン,ストームライダー,kazamukai,,かざむかい たくと,風向 拓斗,Caine,Harry Caine,317
32-9,かさやま,福岡,"福岡・沖縄
(ガチャ: 青 )",火,DF,,121,99,52,56,57,52,56,60,57,32,たつまきせんぷう,フレイムダンス,ボルケイノカット (B),オオウチワ,kasayama,,かさやま そう,笠山 走,Destiny,Dany Destiny,318
32-10,かじ,沖縄,"福岡・沖縄
(ガチャ: 黄 )",林,DF,,133,98,44,44,48,46,48,44,44,107,スピニングシュート (C),ラン・ボール・ラン,カマイタチ,スーパーアルマジロ,kaji,4,かじ とおる,加持 徹,Craft,Andy Craft,319
33-1,かしま,北東京,ミニバトル,山,FW,,120,101,53,58,51,56,51,51,57,61,サイコショット,マジック,アイスグランド,フリーズショット,kashima,,かしま せいじ,鹿島 精児,Cripton,Pres Cripton,320
33-2,かじま,愛媛,"関西 愛媛
(ガチャ: 青 )",林,DF,,83,134,53,56,50,44,49,52,57,55,なまける,どくぎりのじゅつ,フェイクボール,フェイクボンバー,kajima,,かじま すいれん,加治間 水蓮,Pickney,Nancy Pickney,321
33-3,かじわら,北東京,ミニバトル,火,FW,5,91,122,46,40,36,56,58,53,53,83,ファントムシュート (C),アストロブレイク,ブレードアタック,ミラージュシュート (C),kajiwara,,かじわら あさお,梶原 朝夫,Tucker,Pike Tucker,322
33-4,かしん,沖縄,"福岡 沖縄
(ガチャ: 黄 )",山,MF,,124,91,56,56,56,56,57,57,53,23,ごりむちゅう,オオウチワ,サイクロン,トカチェフボンバー (C),kashin,,かしん ぞうろく,花神 蔵六,Ramis,Shemmy Ramis,323
33-5,かずお,ヤマネコ島,"アルゼンチン
(ガチャ: 青 )",山,FW,,118,113,56,66,62,60,60,60,60,24,ひゃくれつショット (C),グラディウスアーチ (L),ドこんじょうバット,ジャッジスルー２,kazuo,,はまだ かずお,浜田 一二夫,Beaton,Bash Beaton,324
33-6,かずと,-,とくしゅ,林,FW,,104,142,57,64,72,36,52,37,39,68,むぞくせい,しっぷうダッシュ,メガネクラッシュ (C),シグマゾーン,kazuto,,めがね かずと,目金 一斗,Isaac,Isaac Glass,325
33-7,かずみち,アルゼンチン,"アルゼンチン
(ガチャ: 青 )",林,MF,,122,96,46,56,56,53,56,62,51,44,しこふみ,ごりむちゅう,ダッシュストーム,スーパーしこふみ (B),kazumichi,4,かずみち めぐる,雑道 旋,Agent,Cam Broadsheet,326
33-8,かぜまる,-,ストーリー,風,DF,,124,122,64,58,68,57,76,58,40,23,しっぷうダッシュ 改,ふうじんのまい,たつまきおとし,ザ･ハリケーン,kazemaru,,かぜまる いちろうた,風丸 一郎太,Nathan,Nathan Swift,327
33-9,かた,コトアール,"コトアール
(ガチャ: 赤 )",山,FW,,127,101,57,56,56,57,41,59,51,59,スーパーしこふみ (B),にひゃくれつショット (B),パワーチャージ,じごくぐるま,kata,3,かた はじめ,形 創,Modlin,Clay Modlin,328
33-10,かたたがえ,京都,人脈システム,山,FW,,93,116,48,51,53,49,65,50,48,55,グレネードショット,ドッペルゲンガー,スネークショット (C),ミラージュシュート (C),katatagae,,かたたがえ めぐむ,方違 恵武,Bearings,Orion Tearing,329
34-1,かたはた,大阪,"関西 愛媛
(ガチャ: 赤 )",風,DF,,118,97,52,57,55,56,54,54,51,51,ブレードアタック,くものいと,れっぷうダッシュ,ホエールガード,katahata,4,かたはた なお,片畑 尚,Gobble,Sharkey Gobble,330
34-2,かたやま,コトアール,"コトアール
(ガチャ: 青 )",風,GK,,122,101,45,56,51,56,67,66,53,45,プレッシャーパンチ,パワーシールド,ドこんじょうキャッチ,キーパープラス,katayama,,かたやま しん,堅山 真,Staid,Shaun Staid,331
34-3,かつ,北海道,"北海道
(ガチャ: 黄 )",火,GK,,91,126,59,53,51,54,53,62,55,38,ねっけつパンチ,パワーシールド,フェイクボンバー,かえんほうしゃ,katsu,,かつ かいじ,勝 海次,Nelson,Horace Nelson,332
34-4,かつお,ウミヘビ島,"イギリス
(ガチャ: 青 )",火,GK,,112,108,65,57,56,57,60,61,60,35,ネバーギブアップ,フルパワーシールド,ちゃぶだいがえし,ギガントウォール,katsuo,4,ときわ かつお,常磐 勝男,Stent,Percy Stent,333
34-5,かつたけ,jジャパン,"ジャパン
(ガチャ: 赤 )",火,MF,,120,108,48,53,65,48,56,53,53,63,ダッシュアクセル,メテオアタック,ならくおとし,クンフーアタック (B),katsutake,,かつたけ ようぞう,勝武 洋三,Glower,Colin Glower,334
34-6,かっちゃん,セントラル,"ジャパン
(ガチャ: 青 )",山,GK,,110,160,48,54,52,64,50,40,60,92,ドリルスマッシャー,ビーストファング,ぶんしんペンギン,セツヤク! (LV50),kacchan,,よしだ かづき,吉田 夏月,Catchan,Natsuki Yoshida,335
34-7,カツノブ,ジャパン,"ジャパン
(ガチャ: 青 )",林,DF,,118,86,44,48,48,45,45,48,48,99,フェイクボール,ヒートタックル,パワーチャージ,シャインドライブ,katsunobu,1,おいかわ かつのぶ,及川 勝信,Filling,Carey Filling,336
34-8,カッパ,-,とくしゅ,風,GK,,121,122,74,49,48,64,71,70,57,17,ウェルカムバック,ライアーショット,ちょうわざ！,グレートバリアリーフ,kappa,,かめざき かっぱ,亀崎 河童,Kappa,Karl Kappa,337
34-9,かつまた,京都,"関西 愛媛
(ガチャ: 赤 )",林,GK,,116,107,60,65,57,61,57,62,58,33,スーパーしこふみ (B),フルパワーシールド,トリプルディフェンス,ロードローラタックル (B),katsumata,3,かつまた かずき,勝又 一輝,Tighthead,Daz Tighthead,338
34-10,かつら,イタリア,"イタリア
(ガチャ: 青 )",林,DF,18,120,102,55,56,51,53,57,56,53,54,スーパーアルマジロ,しこふみ,ザ・ウォール (B),アースクェイク,katsura,4,かつら きくお,桂 菊生,Shearing,Charlie Shearing,339
35-1,かつらもと,イギリス,"イギリス
(ガチャ: 黄 )",山,GK,,120,93,56,59,47,58,52,62,54,23,ねっけつヘッド,ばくれつパンチ,エコーボール,くものいと,katsuramoto,,かつらもと けんしろう,桂本 健四郎,Smolen,Boomer Smolen,340
35-2,かどおか,クジャク島,ミニバトル,火,GK,,127,100,65,60,56,62,46,66,59,34,ゆがむくうかん,ゴッドハンド,ばくれつパンチ,かえんほうしゃ,kadooka,,かどおか しゅうご,門岡 秀悟,Turnor,Clay Turnor,341
35-3,かどがみ,アメリカ,"アメリカ
(ガチャ: 赤 )",山,FW,18,120,94,49,67,44,62,44,49,44,73,ダイナマイトシュート (C),シザース・ボム,リフレクトバスター,しこふみ,kadogami,3,かどがみ ねんじ,門上 捻治,Sherwood,Robin Sherwood,342
35-4,かない,大阪,"関西 愛媛
(ガチャ: 黄 )",火,FW,,136,99,45,53,54,52,61,60,57,35,グレネードショット,ダッシュアクセル,キラースライド,トカチェフボンバー (C),kanai,,かない みつる,金井 満,Hockside,Per Hockside,343
35-5,かなえ,京都,"関西 愛媛
(ガチャ: 青 )",風,DF,,75,134,57,60,48,60,53,56,52,32,ドッペルゲンガー,サイクロン,ごりむちゅう,ローズスプラッシュ (C),kanae,,いその かなえ,磯野 加奈恵,Pitchford,Mia Pitchford,344
35-6,かながわ,北東京,ミニバトル,風,FW,5,99,128,54,54,50,47,46,56,56,65,グレネードショット,ひゃくれつショット (C),ツナミブースト (L),イナズマおとし (B),kanagawa,,かながわ こうすけ,神奈川 航介,Ferry,Ryan Ferry,345
35-7,かなつ,ジャパン店舗通り,ミニバトル,林,DF,5,75,138,47,52,57,53,61,61,57,33,ブレードアタック,みんなイケイケ!,エコーボール,ボルケイノカット (B)(LV52),kanatsu,,はしば かなつ,羽柴 佳夏,Roker,Rosy Roker,346
35-8,かなや,奈良,"関西 愛媛
(ガチャ: 黄 )",山,DF,,118,94,51,53,54,51,56,56,51,54,スーパースキャン,ジグザグスパーク,メガネクラッシュ (C),かげぬい,kanaya,,かなや まさはる,金矢 昌玄,Keeping,Pace Keeping,347
35-9,カナル,京都,"関西 愛媛
(ガチャ: 赤 )",火,GK,,100,130,55,53,57,63,55,53,65,11,ゴールずらし,ミリオンハンズ,フォトンフラッシュ,ジャイアントスピン (B),kanaru,,なつめい みみお,夏鳴 耳雄,Cannes,Placido,348
35-10,カヌー,アルゼンチン,Wi-Fi,風,FW,,119,98,53,56,56,56,53,53,56,53,あびせげり (C),ジャンピングサンダー,Ｕ・ボート,スピードプラス,kanuー,,かぬう かい,夏縫 櫂,Boateng,Doug Boateng,349
36-1,かねこ,クジャク島,"アメリカ
(ガチャ: 赤 )",山,MF,,102,112,46,53,62,44,51,51,53,66,ムーンサルト,ツインブースト,フェイクボール,フレイムダンス,kaneko,,かねこ かずき,金子 一樹,Proctor,Healey Proctor,350
36-2,かねざわ,ウミヘビ島,"イギリス
(ガチャ: 黄 )",林,DF,,121,89,49,49,46,50,47,44,46,102,スーパースキャン,ブレードアタック,ボルケイノカット (B),シューティングスター (B),kanezawa,,かねざわ つとむ,金沢 努,Gleagle,Lee Gleagle,351
36-3,カノン,-,プレミアムスカウト,風,FW,,132,115,60,59,64,69,60,62,67,14,イナズマ1ごう V2(B),メガトンヘッド G2(B),ブロックサーカス,ウルフレジェンド,kanon,,えんどう カノン,円堂 カノン,Canon,Canon Evans,352
36-4,かはく,奈良,"関西 愛媛
(ガチャ: 青 )",風,GK,,115,101,44,47,44,45,51,54,53,87,タフネスブロック,ワイルドクロー,つなみウォール,ロケットこぶし,kahaku,,かはく どうじ,河伯 童子,Orner,Nick Orner,353
36-5,かひら,奈良,"関西 愛媛
(ガチャ: 青 )",山,GK,,120,99,52,56,51,52,56,57,51,43,タフネスブロック,シュートポケット,さばきのてっつい (B),カウンターストライク,kahira,4,かひら けん,貨平 健,Pott,Jack Pott,354
36-6,かぶと,北東京,"商店街
(ガチャ: 赤レア )",山,MF,,118,97,63,54,56,51,61,57,51,32,スパイラルショット,アースクェイク,ザ・ウォール (B),ブロックサーカス,kabuto,3,かぶと すみお,兜 角雄,Rhino,Dan Rhino,355
36-7,カフラー,ヤマネコ島,"アルゼンチン
(ガチャ: 黄レア )",火,FW,,148,32,79,90,43,78,65,41,51,5,ぞくせいきょうか,ちょうわざ！,シュートプラス,じばしりかえん,kafuraー,3,ぎざ かふら,義座 火夫良,Khafra,Khefren Chepren,356
36-8,かぶらぎ,福岡,"福岡 沖縄
(ガチャ: 黄 )",林,FW,,118,98,50,52,56,55,57,56,51,33,スーパースキャン,グレネードショット,スーパースキャン,たつまきおとし (C),kaburagi,,かぶらぎ かねみつ,蕪木 金光,Turnbull,Bear Turnbull,357
36-9,カプリコ,北東京,"稲妻商店街
(ガチャ: 赤 )",山,DF,,102,126,48,46,48,51,57,55,57,66,コイルターン,クンフーヘッド,ブレードアタック,スピニングカット (B),kapuriko,,やぎ ひさし,矢木 尚史,Twining,Osier Twining,358
36-10,カプリコン,コンドル島,人脈システム,林,MF,,123,97,55,57,56,57,63,57,65,11,スピードプラス,ワープドライブ,ぶんしんフェイント,ミラージュシュート (C)(LV50),kapurikon,,やぎむら あいぎ,山羊村 相気,Capricorn,Pann Kidd,359
37-1,かべ,アメリカ,"アメリカ
(ガチャ: 青 )",風,FW,,135,101,57,56,56,60,53,53,53,37,スピニングシュート (C),ブレードアタック,ムーンサルト,ホークショット (B),kabe,,かべ そうすけ,加部 蒼甫,Adeer,Glen Adeer,360
37-2,かべやま,-,ストーリー,山,DF,,113,116,40,53,62,66,49,65,54,35,ザ･ウォール 改(B),モグラフェイント,ザ･マウンテン,ロックウォールダム,kabeyama,4,かべやま へいごろう,壁山 塀吾郎,Jack,Jack Wallside,361
37-3,かぼちゃ,ウミガメ島,ミニバトル,火,GK,,93,126,56,47,47,60,40,52,49,74,タフネスブロック,ジャイアントスピン (B),メガクェイク,だいばくはつはりて,kabocha,4,なうり けいさく,南瓜 敬作,Lantern,Jacky Lantern,362
37-4,かまい,京都,"関西 愛媛
(ガチャ: 青 )",風,DF,,133,96,44,37,41,55,66,53,51,78,たつまきせんぷう,れっぷうダッシュ,しんくうま (B),ダッシュストーム,kamai,,かまい たつお,鎌井 達夫,Rocket,Roger Rocket,363
37-5,かまきり,北海道,"北海道
(ガチャ: 青 )",火,FW,,129,101,60,54,54,61,41,60,57,37,スーパーアルマジロ,モグラフェイント,ザ･ウォール (B),イケイケ！,kamakiri,4,かまきり あおと,鎌桐 蒼人,Sheller,Martin Sheller,364
37-6,かまど,大阪,"関西 愛媛
(ガチャ: 黄 )",林,DF,,111,96,44,54,58,47,54,53,56,56,キラースライド,ボルケイノカット (B),たつまきどくぎり,オーロラドリブル,kamado,,かまど ちかお,釜戸 親生,Dray,Linden Dray,365
37-7,かみきり,コトアール,"コトアール
(ガチャ: 青 )",風,MF,,122,92,45,65,53,56,60,60,53,34,モンキーターン,ざんぞう,カマイタチ,アルマジロサーカス,kamikiri,,かみきり てつや,髪切 徹也,Mullet,Hal Mullet,366
37-8,かみずる,クジャク島,"アメリカ
(ガチャ: 黄 )",風,DF,,89,128,45,44,50,44,45,44,50,88,アイスグランド,たつまきせんぷう,フレイムダンス,ざんぞう,kamizuru,,かみずる みえい,神水流 美映,O'Bonn,Dory O'Bonn,367
37-9,かみまる,セントラル,"ジャパン
(ガチャ: 青 )",風,MF,,127,103,57,53,60,60,69,64,71,6,たまのりピエロ,ローリングスライド,ラン・ボール・ラン,ダッシュストーム,kamimaru,1,かみまる はやと,髪丸 速人,Swallow,Ethan Swallow,368
37-10,ガム,ジャパン,ミニバトル,山,DF,,120,101,56,60,56,62,55,53,54,23,スピニングカット (B),フーセンガム,ジャッジスルー２,ブロックサーカス,gamu,,がむ けんたろう,賀夢 健太郎,Aminty,Pip Aminty,369
38-1,かむい,北海道,"北海道
(ガチャ: 青 )",火,DF,,81,126,60,52,51,51,52,58,51,36,イカサマ！,おんりょう V2,フォトンフラッシュ,スノーエンジェル,kamui,,ちり かむい,知里 神衣,Nutty,Alice Nutty,370
38-2,かめい,クジャク島,"アメリカ
(ガチャ: 赤 )",林,DF,,99,128,44,36,42,51,60,56,56,80,モンキーターン,リカバリー,スニーキングレイド,フレイムダンス,kamei,,かめい まんたろう,亀井 慢太郎,Dupee,Ed Dupee,371
38-3,かめいし,コトアール,Wi-Fi配信,風,DF,,94,145,56,61,57,67,58,63,58,31,ディフェンスプラス,ふっかつ！,スピードプラス,ラッキー！,kameishi,1,かめいし ひさとも,亀石 久朋,Brownie,Lewis Brownie,372
38-4,かめん,イタリア,Wi-Fi配信,火,GK,,123,104,42,66,59,60,60,60,58,11,ドリルスマッシャー,くものいと,スーパースキャン,ワープドライブ,kamen,,かめん そく,仮面 即,Masque,Matt Skerade,373
38-5,かも,愛媛,"関西 愛媛
(ガチャ: 赤 )",山,FW,,122,100,67,51,53,56,58,56,51,34,トカチェフボンバー (C),レインボーループ (L),カンガルーキック,たつまきどくぎり,kamo,,かも よしゆき,賀茂 歓行,Moony,Bill Moony,374
38-6,カモノハシ,南東京,"大江戸国際空港
(ガチャ: 青 )",山,DF,8,119,90,50,49,52,53,60,47,51,58,フーセンガム,アイスグランド,メガロドン,ホエールガード,kamonohashi,1,かもの かなえ,鴨野 奏絵,Duckie,Bill Mallard,375
38-7,カヤート,北東京,ミニバトル,火,FW,,107,118,60,60,53,52,57,61,58,32,サイコショット,ドラゴンクラッシュ (C),ドラゴンキャノン (B),れっぷうダッシュ,kayaーto,,ふかや たつひと,深谷 竜人,Squareyes,Simeon Squareyes,376
38-8,からさき,ヤマネコ島,"アルゼンチン
(ガチャ: 赤 )",林,DF,,109,114,53,57,54,53,56,50,56,56,ぶんしんディフェンス,ホーントレイン (B),ダッシュアクセル,つうてんかくシュート (C),karasaki,4,からさき とういち,唐崎 桐市,Miste,Pezi Miste,377
38-9,からす,ウミヘビ島,"イギリス
(ガチャ: 黄 )",山,DF,,122,97,62,53,51,59,42,60,56,42,うしろのしょうめん,スピニングカット (B),オオウチワ,じごくぐるま,karasu,,からすやま てん,鴉山 天,Crowe,Raven Crowe,378
38-10,からまつ,ジャパン,"ジャパン
(ガチャ: 青 )",山,MF,,119,93,48,56,56,53,63,56,51,42,モンキーターン,かげぬい,クンフーヘッド,ねっけつヘッド,karamatsu,,からまつ まさたけ,唐松 正豪,Rellicks,Dusty Rellicks,379
39-1,がり,北東京,"稲妻商店街
(ガチャ:) 青",火,GK,,99,119,60,40,46,37,63,57,53,70,ねっけつパンチ,がくしゅう,フェイクボンバー,ちゃぶだいがえし,gari,,つまがり つとむ,津曲 勉,Dent,Stu Dent,380
39-2,かりゅう,-,とくしゅ,火,GK,,110,118,63,57,56,78,57,39,65,30,ぞくせいきょうか,かえんほうしゃ V2,イグナイトスティール,バーンアウト,karyuu,,かりゅう しょうま,火流 将丸,Firefoot,Blazer Firefoot,381
39-3,かるいざわ,ヤマネコ島,ミニバトル,山,MF,,120,100,55,51,51,56,57,55,54,43,ジグザグスパーク,クロスドライブ,トライアングルZ,かげぬい,karuizawa,,かるいざわ けい,軽井沢 啓,Ligner,Cruz Ligner,382
39-4,カレン,沖縄,人脈システム,火,FW,,114,129,81,62,42,39,65,65,46,47,ペガサスショット 改(C),イリュージョンボール,ハーヴェスト,グランフェンリル,karen,,とが かれん,砥鹿 火蓮,Stoker,Bernadette Stoker,383
39-5,かわかみ,ジャパン,"ジャパン
(ガチャ: 赤 )",山,GK,,125,95,53,51,53,51,54,57,67,51,プレッシャーパンチ,パワーシールド,ジャッジスルー２,フラッシュアッパー,kawakami,,かわかみ まさや,川上 昌也,Springs,Luis Springs,384
39-6,かわぐち,コンドル島,ミニバトル,火,FW,5,117,111,60,60,60,67,62,62,57,15,ファントムシュート (C),イカサマ!,ダークトルネード (B),リフレクトバスター,kawaguchi,,かわぐち たけひろ,河口 丈裕,Keenan,Harry Keenan,385
39-7,かわさき,セントラル,"ジャパン
(ガチャ: 赤 )",林,GK,,120,92,44,41,41,56,62,53,54,63,キラーブレード,パワーシールド,フルパワーシールド,スーパースキャン,kawasaki,,かわさき だいしろう,川崎 大志郎,Matickal,Matt Matickal,386
39-8,かわしま,セントラル,"ジャパン
(ガチャ: 黄レア )",風,GK,,119,92,55,57,56,51,56,54,54,50,トルネードキャッチ,スピニングカット (B),つむじ,ジグザグフレイム,kawashima,,かわしま みがく,革嶋 磨,Shiner,Stu Shiner,387
39-9,かわせ,南東京,"大江戸国際空港
(ガチャ: 青 )",山,FW,8,120,92,61,48,51,54,58,48,51,50,あびせげり (C),ジグザグフレイム,ボルケイノカット (B),モグラフェイント,kawase,1,かわせ しょうた,川瀬 笑太,Cabedo,Reyes Cabedo,388
39-10,カワセミ,コトアール,"コトアール
(ガチャ: 赤 )",火,FW,,121,100,51,57,53,61,57,53,53,39,あびせげり (C),ジグザグスパーク,タイガードライブ,エコーボール,kawasemi,4,かわせみ いくとし,川蝉 育俊,Adiddy,Chick Adiddy,389
40-1,かわた,アメリカ,ミニバトル,山,GK,,122,93,58,53,57,51,53,56,56,26,ふっかつ！,ムーンサルト,ばくれつパンチ,ちゃぶだいがえし,kawata,,かわた けん,河田 健,Freke,Heath Freke,390
40-2,かわたか,イギリス,"イギリス
(ガチャ: 青レア )",火,FW,,114,105,51,57,56,51,54,51,51,54,シュートフォース,ファントムシュート (C),ダークトルネード (B),シザーズ・ボム,kawataka,,かわたか けいさく,河高 敬作,Shlock,Horace Shlock,391
40-4,かわわ,南東京,人脈システム,山,MF,,126,98,51,50,49,48,63,41,50,90,ドラゴンクラッシュ (C),シザーズ・ボム,ダッシュアクセル,おんりょう,kawawa,,かわわ さいと,川勾 才斗,Dredger,Brook Dredger,392
40-5,かんう,北東京,"稲妻商店街
(ガチャ: 青レア )",林,FW,8,118,100,45,53,51,57,62,63,52,40,クンフーヘッド,じばしりかえん,かげぬい,シャインドライブ,kanu,,かんう おさひと,関羽 長人,Gnu,Carl Gnu,393
40-6,ガンガール,スクラップ広場,人脈システム,火,FW,,124,111,54,57,45,46,49,63,49,42,ダイナマイトシュート (C),アサルトシュート (L),シュートプラス,ガンショット (LV51),gangaーru,,はやうち じゅうこ,早撃 銃子,Deadeye,Fanny Oakley,394
